Input feed cut file input-unit/ppe-omni-7.205Ghz-rhcp.cut, CF(dB)=-0.20, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
   72.00     0.00      -6.743809E-02       9.056576E-01      -7.480559E-02       8.995621E-02
   73.00     0.00      -3.585845E-02       8.922200E-01      -6.875934E-02       9.290555E-02
   74.00     0.00      -4.210246E-03       8.848762E-01      -6.323784E-02       9.766241E-02
   75.00     0.00       2.566328E-02       8.835086E-01      -5.910192E-02       1.039796E-01
   76.00     0.00       5.197947E-02       8.873771E-01      -5.710370E-02       1.112568E-01
   77.00     0.00       7.332392E-02       8.951884E-01      -5.773589E-02       1.186007E-01
   78.00     0.00       8.873305E-02       9.051970E-01      -6.113211E-02       1.249240E-01
   79.00     0.00       9.789284E-02       9.154419E-01      -6.699553E-02       1.291040E-01
   80.00     0.00       1.011699E-01       9.239753E-01      -7.459589E-02       1.301499E-01
   81.00     0.00       9.953611E-02       9.291055E-01      -8.283383E-02       1.273680E-01
   82.00     0.00       9.451925E-02       9.296246E-01      -9.036754E-02       1.205039E-01
   83.00     0.00       8.788657E-02       9.249209E-01      -9.578853E-02       1.098112E-01
   84.00     0.00       8.145973E-02       9.150706E-01      -9.782225E-02       9.606837E-02
   85.00     0.00       7.684679E-02       9.007815E-01      -9.552238E-02       8.050493E-02
   86.00     0.00       7.519093E-02       8.832570E-01      -8.843205E-02       6.466187E-02
   87.00     0.00       7.712794E-02       8.639919E-01      -7.667226E-02       5.018457E-02
   88.00     0.00       8.260621E-02       8.445034E-01      -6.096283E-02       3.860645E-02
   89.00     0.00       9.101091E-02       8.261096E-01      -4.254462E-02       3.112798E-02
   90.00     0.00       1.012661E-01       8.097029E-01      -2.302837E-02       2.843650E-02
   91.00     0.00       1.121148E-01       7.956675E-01      -4.174437E-03       3.060854E-02
   92.00     0.00       1.222652E-01       7.837464E-01       1.234042E-02       3.707510E-02
   93.00     0.00       1.306952E-01       7.731894E-01       2.516132E-02       4.670999E-02
   94.00     0.00       1.368220E-01       7.628762E-01       3.344212E-02       5.798581E-02
   95.00     0.00       1.405919E-01       7.515245E-01       3.696312E-02       6.919362E-02
   96.00     0.00       1.425727E-01       7.379689E-01       3.614058E-02       7.870236E-02
   97.00     0.00       1.437688E-01       7.213143E-01       3.195985E-02       8.518069E-02
   98.00     0.00       1.455277E-01       7.011780E-01       2.580750E-02       8.780069E-02
   99.00     0.00       1.492979E-01       6.777639E-01       1.924667E-02       8.634662E-02
  100.00     0.00       1.563629E-01       6.518630E-01       1.376992E-02       8.123992E-02
  101.00     0.00       1.677000E-01       6.247801E-01       1.054848E-02       7.344016E-02
  102.00     0.00       1.836896E-01       5.981165E-01       1.025927E-02       6.429628E-02
  103.00     0.00       2.041063E-01       5.735880E-01       1.296723E-02       5.531445E-02
  104.00     0.00       2.280927E-01       5.527654E-01       1.811212E-02       4.790750E-02
  105.00     0.00       2.542236E-01       5.368503E-01       2.458962E-02       4.316473E-02
  106.00     0.00       2.807717E-01       5.265034E-01       3.092229E-02       4.164640E-02
  107.00     0.00       3.057830E-01       5.217179E-01       3.547752E-02       4.329356E-02
  108.00     0.00       3.274212E-01       5.218337E-01       3.672253E-02       4.740075E-02
  109.00     0.00       3.441650E-01       5.255970E-01       3.346026E-02       5.269397E-02
  110.00     0.00       3.549635E-01       5.313077E-01       2.502542E-02       5.749818E-02
  111.00     0.00       3.594706E-01       5.370284E-01       1.139260E-02       5.993326E-02
  112.00     0.00       3.579176E-01       5.407839E-01      -6.778938E-03       5.818069E-02
  113.00     0.00       3.511989E-01       5.408129E-01      -2.820667E-02       5.071355E-02
  114.00     0.00       3.407246E-01       5.357510E-01      -5.112222E-02       3.649835E-02
  115.00     0.00       3.282290E-01       5.247686E-01      -7.347166E-02       1.515021E-02
  116.00     0.00       3.156833E-01       5.076625E-01      -9.314015E-02      -1.305618E-02
  117.00     0.00       3.049096E-01       4.848327E-01      -1.081898E-01      -4.715032E-02
  118.00     0.00       2.975254E-01       4.572417E-01      -1.170655E-01      -8.559569E-02
  119.00     0.00       2.947459E-01       4.262906E-01      -1.187547E-01      -1.264434E-01
  120.00     0.00       2.972790E-01       3.936616E-01      -1.128807E-01      -1.675310E-01
  121.00     0.00       3.052650E-01       3.611420E-01      -9.974946E-02      -2.066870E-01
  122.00     0.00       3.183504E-01       3.304435E-01      -8.022909E-02      -2.419655E-01
  123.00     0.00       3.356467E-01       3.030514E-01      -5.573641E-02      -2.717715E-01
  124.00     0.00       3.559211E-01       2.800952E-01      -2.803264E-02      -2.950135E-01
  125.00     0.00       3.777047E-01       2.622705E-01       9.386817E-04      -3.111623E-01
  126.00     0.00       3.994393E-01       2.498050E-01       2.923037E-02      -3.202594E-01
  127.00     0.00       4.196155E-01       2.424816E-01       5.504912E-02      -3.228796E-01
  128.00     0.00       4.369314E-01       2.396575E-01       7.691879E-02      -3.200125E-01
  129.00     0.00       4.503271E-01       2.404014E-01       9.373783E-02      -3.129770E-01
  130.00     0.00       4.591046E-01       2.435622E-01       1.048571E-01      -3.032637E-01
  131.00     0.00       4.629375E-01       2.478941E-01       1.100817E-01      -2.924009E-01
  132.00     0.00       4.618647E-01       2.521679E-01       1.096394E-01      -2.818274E-01
  133.00     0.00       4.562498E-01       2.552818E-01       1.041199E-01      -2.727872E-01
  134.00     0.00       4.467446E-01       2.562848E-01       9.437847E-02      -2.662539E-01
  135.00     0.00       4.341629E-01       2.545213E-01       8.145172E-02      -2.628825E-01
  136.00     0.00       4.194410E-01       2.495887E-01       6.644904E-02      -2.629979E-01
  137.00     0.00       4.035243E-01       2.413507E-01       5.046010E-02      -2.666065E-01
  138.00     0.00       3.873613E-01       2.299570E-01       3.448027E-02      -2.734382E-01
  139.00     0.00       3.717414E-01       2.157496E-01       1.934302E-02      -2.829930E-01
  140.00     0.00       3.573187E-01       1.992654E-01       5.684403E-03      -2.946071E-01
  141.00     0.00       3.445680E-01       1.810983E-01      -6.082707E-03      -3.075281E-01
  142.00     0.00       3.337660E-01       1.619684E-01      -1.576258E-02      -3.209647E-01
  143.00     0.00       3.250066E-01       1.425710E-01      -2.336595E-02      -3.341556E-01
  144.00     0.00       3.182152E-01       1.235609E-01      -2.908113E-02      -3.464132E-01
  145.00     0.00       3.131755E-01       1.055147E-01      -3.323796E-02      -3.571594E-01
