Theta,Phi,Gain
0,0,16.81
1,0,16.65
2,0,16.09
3,0,15.21
4,0,14.09
5,0,12.92
6,0,11.94
7,0,11.34
8,0,11.06
9,0,10.83
10,0,10.40
11,0,9.66
12,0,8.54
13,0,7.11
14,0,5.58
15,0,4.29
16,0,3.56
17,0,3.26
18,0,3.01
19,0,2.51
20,0,1.60
21,0,0.27
22,0,-1.36
23,0,-2.96
24,0,-3.85
25,0,-3.65
26,0,-2.66
27,0,-1.47
28,0,-0.40
29,0,0.43
30,0,0.97
31,0,1.21
32,0,1.08
33,0,0.60
34,0,-0.24
35,0,-1.37
36,0,-2.65
37,0,-3.79
38,0,-4.39
39,0,-4.35
40,0,-3.96
41,0,-3.53
42,0,-3.25
43,0,-3.17
44,0,-3.25
45,0,-3.46
46,0,-3.73
47,0,-4.01
48,0,-4.25
49,0,-4.41
50,0,-4.54
51,0,-4.64
52,0,-4.73
53,0,-4.85
54,0,-5.03
55,0,-5.30
56,0,-5.65
57,0,-6.09
58,0,-6.55
59,0,-6.93
60,0,-7.07
61,0,-6.79
62,0,-6.05
63,0,-5.04
64,0,-3.93
65,0,-2.90
66,0,-2.01
67,0,-1.30
68,0,-0.78
69,0,-0.43
70,0,-0.22
71,0,-0.16
72,0,-0.23
73,0,-0.42
74,0,-0.69
75,0,-1.00
76,0,-1.30
77,0,-1.53
78,0,-1.65
79,0,-1.63
80,0,-1.49
81,0,-1.25
82,0,-0.96
83,0,-0.65
84,0,-0.35
85,0,-0.09
86,0,0.11
87,0,0.25
88,0,0.35
89,0,0.40
90,0,0.41
91,0,0.39
92,0,0.34
93,0,0.24
94,0,0.11
95,0,-0.07
96,0,-0.28
97,0,-0.56
98,0,-0.89
99,0,-1.28
100,0,-1.75
101,0,-2.30
102,0,-2.91
103,0,-3.60
104,0,-4.34
105,0,-5.11
106,0,-5.83
107,0,-6.45
108,0,-6.94
109,0,-7.27
110,0,-7.46
111,0,-7.61
112,0,-7.77
113,0,-8.03
114,0,-8.45
115,0,-9.10
116,0,-10.03
117,0,-11.24
118,0,-12.79
119,0,-14.63
120,0,-16.30
121,0,-16.85
122,0,-16.01
123,0,-14.62
124,0,-13.40
125,0,-12.58
126,0,-12.24
127,0,-12.35
128,0,-12.92
129,0,-14.01
130,0,-15.79
131,0,-18.31
132,0,-20.76
133,0,-20.96
134,0,-19.09
135,0,-17.08
136,0,-15.67
137,0,-15.00
138,0,-15.06
139,0,-15.69
140,0,-16.73
141,0,-18.11
142,0,-19.64
143,0,-20.65
144,0,-20.19
145,0,-18.79
146,0,-17.57
147,0,-16.96
148,0,-16.55
149,0,-15.49
150,0,-13.68
151,0,-11.84
152,0,-10.37
153,0,-9.26
154,0,-8.39
155,0,-7.71
156,0,-7.12
157,0,-6.51
158,0,-5.80
159,0,-5.00
160,0,-4.15
161,0,-3.30
162,0,-2.47
163,0,-1.74
164,0,-1.14
165,0,-0.68
166,0,-0.30
167,0,0.03
168,0,0.37
169,0,0.74
170,0,1.14
171,0,1.55
172,0,1.92
173,0,2.19
174,0,2.34
175,0,2.36
176,0,2.28
177,0,2.12
178,0,1.95
179,0,1.83
180,0,1.80
0,1,16.81
1,1,16.65
2,1,16.09
3,1,15.21
4,1,14.09
5,1,12.92
6,1,11.94
7,1,11.34
8,1,11.06
9,1,10.83
10,1,10.40
11,1,9.66
12,1,8.54
13,1,7.11
14,1,5.58
15,1,4.29
16,1,3.56
17,1,3.26
18,1,3.01
19,1,2.51
20,1,1.60
21,1,0.27
22,1,-1.36
23,1,-2.96
24,1,-3.85
25,1,-3.65
26,1,-2.66
27,1,-1.47
28,1,-0.40
29,1,0.43
30,1,0.97
31,1,1.21
32,1,1.08
33,1,0.60
34,1,-0.24
35,1,-1.37
36,1,-2.65
37,1,-3.79
38,1,-4.39
39,1,-4.35
40,1,-3.96
41,1,-3.53
42,1,-3.25
43,1,-3.17
44,1,-3.25
45,1,-3.46
46,1,-3.73
47,1,-4.01
48,1,-4.25
49,1,-4.41
50,1,-4.54
51,1,-4.64
52,1,-4.73
53,1,-4.85
54,1,-5.03
55,1,-5.30
56,1,-5.65
57,1,-6.09
58,1,-6.55
59,1,-6.93
60,1,-7.07
61,1,-6.79
62,1,-6.05
63,1,-5.04
64,1,-3.93
65,1,-2.90
66,1,-2.01
67,1,-1.30
68,1,-0.78
69,1,-0.43
70,1,-0.22
71,1,-0.16
72,1,-0.23
73,1,-0.42
74,1,-0.69
75,1,-1.00
76,1,-1.30
77,1,-1.53
78,1,-1.65
79,1,-1.63
80,1,-1.49
81,1,-1.25
82,1,-0.96
83,1,-0.65
84,1,-0.35
85,1,-0.09
86,1,0.11
87,1,0.25
88,1,0.35
89,1,0.40
90,1,0.41
91,1,0.39
92,1,0.34
93,1,0.24
94,1,0.11
95,1,-0.07
96,1,-0.28
97,1,-0.56
98,1,-0.89
99,1,-1.28
100,1,-1.75
101,1,-2.30
102,1,-2.91
103,1,-3.60
104,1,-4.34
105,1,-5.11
106,1,-5.83
107,1,-6.45
108,1,-6.94
109,1,-7.27
110,1,-7.46
111,1,-7.61
112,1,-7.77
113,1,-8.03
114,1,-8.45
115,1,-9.10
116,1,-10.03
117,1,-11.24
118,1,-12.79
119,1,-14.63
120,1,-16.30
121,1,-16.85
122,1,-16.01
123,1,-14.62
124,1,-13.40
125,1,-12.58
126,1,-12.24
127,1,-12.35
128,1,-12.92
129,1,-14.01
130,1,-15.79
131,1,-18.31
132,1,-20.76
133,1,-20.96
134,1,-19.09
135,1,-17.08
136,1,-15.67
137,1,-15.00
138,1,-15.06
139,1,-15.69
140,1,-16.73
141,1,-18.11
142,1,-19.64
143,1,-20.65
144,1,-20.19
145,1,-18.79
146,1,-17.57
147,1,-16.96
148,1,-16.55
149,1,-15.49
150,1,-13.68
151,1,-11.84
152,1,-10.37
153,1,-9.26
154,1,-8.39
155,1,-7.71
156,1,-7.12
157,1,-6.51
158,1,-5.80
159,1,-5.00
160,1,-4.15
161,1,-3.30
162,1,-2.47
163,1,-1.74
164,1,-1.14
165,1,-0.68
166,1,-0.30
167,1,0.03
168,1,0.37
169,1,0.74
170,1,1.14
171,1,1.55
172,1,1.92
173,1,2.19
174,1,2.34
175,1,2.36
176,1,2.28
177,1,2.12
178,1,1.95
179,1,1.83
180,1,1.80
0,2,16.81
1,2,16.65
2,2,16.09
3,2,15.21
4,2,14.09
5,2,12.92
6,2,11.94
7,2,11.34
8,2,11.06
9,2,10.83
10,2,10.40
11,2,9.66
12,2,8.54
13,2,7.11
14,2,5.58
15,2,4.29
16,2,3.56
17,2,3.26
18,2,3.01
19,2,2.51
20,2,1.60
21,2,0.27
22,2,-1.36
23,2,-2.96
24,2,-3.85
25,2,-3.65
26,2,-2.66
27,2,-1.47
28,2,-0.40
29,2,0.43
30,2,0.97
31,2,1.21
32,2,1.08
33,2,0.60
34,2,-0.24
35,2,-1.37
36,2,-2.65
37,2,-3.79
38,2,-4.39
39,2,-4.35
40,2,-3.96
41,2,-3.53
42,2,-3.25
43,2,-3.17
44,2,-3.25
45,2,-3.46
46,2,-3.73
47,2,-4.01
48,2,-4.25
49,2,-4.41
50,2,-4.54
51,2,-4.64
52,2,-4.73
53,2,-4.85
54,2,-5.03
55,2,-5.30
56,2,-5.65
57,2,-6.09
58,2,-6.55
59,2,-6.93
60,2,-7.07
61,2,-6.79
62,2,-6.05
63,2,-5.04
64,2,-3.93
65,2,-2.90
66,2,-2.01
67,2,-1.30
68,2,-0.78
69,2,-0.43
70,2,-0.22
71,2,-0.16
72,2,-0.23
73,2,-0.42
74,2,-0.69
75,2,-1.00
76,2,-1.30
77,2,-1.53
78,2,-1.65
79,2,-1.63
80,2,-1.49
81,2,-1.25
82,2,-0.96
83,2,-0.65
84,2,-0.35
85,2,-0.09
86,2,0.11
87,2,0.25
88,2,0.35
89,2,0.40
90,2,0.41
91,2,0.39
92,2,0.34
93,2,0.24
94,2,0.11
95,2,-0.07
96,2,-0.28
97,2,-0.56
98,2,-0.89
99,2,-1.28
100,2,-1.75
101,2,-2.30
102,2,-2.91
103,2,-3.60
104,2,-4.34
105,2,-5.11
106,2,-5.83
107,2,-6.45
108,2,-6.94
109,2,-7.27
110,2,-7.46
111,2,-7.61
112,2,-7.77
113,2,-8.03
114,2,-8.45
115,2,-9.10
116,2,-10.03
117,2,-11.24
118,2,-12.79
119,2,-14.63
120,2,-16.30
121,2,-16.85
122,2,-16.01
123,2,-14.62
124,2,-13.40
125,2,-12.58
126,2,-12.24
127,2,-12.35
128,2,-12.92
129,2,-14.01
130,2,-15.79
131,2,-18.31
132,2,-20.76
133,2,-20.96
134,2,-19.09
135,2,-17.08
136,2,-15.67
137,2,-15.00
138,2,-15.06
139,2,-15.69
140,2,-16.73
141,2,-18.11
142,2,-19.64
143,2,-20.65
144,2,-20.19
145,2,-18.79
146,2,-17.57
147,2,-16.96
148,2,-16.55
149,2,-15.49
150,2,-13.68
151,2,-11.84
152,2,-10.37
153,2,-9.26
154,2,-8.39
155,2,-7.71
156,2,-7.12
157,2,-6.51
158,2,-5.80
159,2,-5.00
160,2,-4.15
161,2,-3.30
162,2,-2.47
163,2,-1.74
164,2,-1.14
165,2,-0.68
166,2,-0.30
167,2,0.03
168,2,0.37
169,2,0.74
170,2,1.14
171,2,1.55
172,2,1.92
173,2,2.19
174,2,2.34
175,2,2.36
176,2,2.28
177,2,2.12
178,2,1.95
179,2,1.83
180,2,1.80
0,3,16.81
1,3,16.65
2,3,16.09
3,3,15.21
4,3,14.09
5,3,12.92
6,3,11.94
7,3,11.34
8,3,11.06
9,3,10.83
10,3,10.40
11,3,9.66
12,3,8.54
13,3,7.11
14,3,5.58
15,3,4.29
16,3,3.56
17,3,3.26
18,3,3.01
19,3,2.51
20,3,1.60
21,3,0.27
22,3,-1.36
23,3,-2.96
24,3,-3.85
25,3,-3.65
26,3,-2.66
27,3,-1.47
28,3,-0.40
29,3,0.43
30,3,0.97
31,3,1.21
32,3,1.08
33,3,0.60
34,3,-0.24
35,3,-1.37
36,3,-2.65
37,3,-3.79
38,3,-4.39
39,3,-4.35
40,3,-3.96
41,3,-3.53
42,3,-3.25
43,3,-3.17
44,3,-3.25
45,3,-3.46
46,3,-3.73
47,3,-4.01
48,3,-4.25
49,3,-4.41
50,3,-4.54
51,3,-4.64
52,3,-4.73
53,3,-4.85
54,3,-5.03
55,3,-5.30
56,3,-5.65
57,3,-6.09
58,3,-6.55
59,3,-6.93
60,3,-7.07
61,3,-6.79
62,3,-6.05
63,3,-5.04
64,3,-3.93
65,3,-2.90
66,3,-2.01
67,3,-1.30
68,3,-0.78
69,3,-0.43
70,3,-0.22
71,3,-0.16
72,3,-0.23
73,3,-0.42
74,3,-0.69
75,3,-1.00
76,3,-1.30
77,3,-1.53
78,3,-1.65
79,3,-1.63
80,3,-1.49
81,3,-1.25
82,3,-0.96
83,3,-0.65
84,3,-0.35
85,3,-0.09
86,3,0.11
87,3,0.25
88,3,0.35
89,3,0.40
90,3,0.41
91,3,0.39
92,3,0.34
93,3,0.24
94,3,0.11
95,3,-0.07
96,3,-0.28
97,3,-0.56
98,3,-0.89
99,3,-1.28
100,3,-1.75
101,3,-2.30
102,3,-2.91
103,3,-3.60
104,3,-4.34
105,3,-5.11
106,3,-5.83
107,3,-6.45
108,3,-6.94
109,3,-7.27
110,3,-7.46
111,3,-7.61
112,3,-7.77
113,3,-8.03
114,3,-8.45
115,3,-9.10
116,3,-10.03
117,3,-11.24
118,3,-12.79
119,3,-14.63
120,3,-16.30
121,3,-16.85
122,3,-16.01
123,3,-14.62
124,3,-13.40
125,3,-12.58
126,3,-12.24
127,3,-12.35
128,3,-12.92
129,3,-14.01
130,3,-15.79
131,3,-18.31
132,3,-20.76
133,3,-20.96
134,3,-19.09
135,3,-17.08
136,3,-15.67
137,3,-15.00
138,3,-15.06
139,3,-15.69
140,3,-16.73
141,3,-18.11
142,3,-19.64
143,3,-20.65
144,3,-20.19
145,3,-18.79
146,3,-17.57
147,3,-16.96
148,3,-16.55
149,3,-15.49
150,3,-13.68
151,3,-11.84
152,3,-10.37
153,3,-9.26
154,3,-8.39
155,3,-7.71
156,3,-7.12
157,3,-6.51
158,3,-5.80
159,3,-5.00
160,3,-4.15
161,3,-3.30
162,3,-2.47
163,3,-1.74
164,3,-1.14
165,3,-0.68
166,3,-0.30
167,3,0.03
168,3,0.37
169,3,0.74
170,3,1.14
171,3,1.55
172,3,1.92
173,3,2.19
174,3,2.34
175,3,2.36
176,3,2.28
177,3,2.12
178,3,1.95
179,3,1.83
180,3,1.80
0,4,16.81
1,4,16.65
2,4,16.09
3,4,15.21
4,4,14.09
5,4,12.92
6,4,11.94
7,4,11.34
8,4,11.06
9,4,10.83
10,4,10.40
11,4,9.66
12,4,8.54
13,4,7.11
14,4,5.58
15,4,4.29
16,4,3.56
17,4,3.26
18,4,3.01
19,4,2.51
20,4,1.60
21,4,0.27
22,4,-1.36
23,4,-2.96
24,4,-3.85
25,4,-3.65
26,4,-2.66
27,4,-1.47
28,4,-0.40
29,4,0.43
30,4,0.97
31,4,1.21
32,4,1.08
33,4,0.60
34,4,-0.24
35,4,-1.37
36,4,-2.65
37,4,-3.79
38,4,-4.39
39,4,-4.35
40,4,-3.96
41,4,-3.53
42,4,-3.25
43,4,-3.17
44,4,-3.25
45,4,-3.46
46,4,-3.73
47,4,-4.01
48,4,-4.25
49,4,-4.41
50,4,-4.54
51,4,-4.64
52,4,-4.73
53,4,-4.85
54,4,-5.03
55,4,-5.30
56,4,-5.65
57,4,-6.09
58,4,-6.55
59,4,-6.93
60,4,-7.07
61,4,-6.79
62,4,-6.05
63,4,-5.04
64,4,-3.93
65,4,-2.90
66,4,-2.01
67,4,-1.30
68,4,-0.78
69,4,-0.43
70,4,-0.22
71,4,-0.16
72,4,-0.23
73,4,-0.42
74,4,-0.69
75,4,-1.00
76,4,-1.30
77,4,-1.53
78,4,-1.65
79,4,-1.63
80,4,-1.49
81,4,-1.25
82,4,-0.96
83,4,-0.65
84,4,-0.35
85,4,-0.09
86,4,0.11
87,4,0.25
88,4,0.35
89,4,0.40
90,4,0.41
91,4,0.39
92,4,0.34
93,4,0.24
94,4,0.11
95,4,-0.07
96,4,-0.28
97,4,-0.56
98,4,-0.89
99,4,-1.28
100,4,-1.75
101,4,-2.30
102,4,-2.91
103,4,-3.60
104,4,-4.34
105,4,-5.11
106,4,-5.83
107,4,-6.45
108,4,-6.94
109,4,-7.27
110,4,-7.46
111,4,-7.61
112,4,-7.77
113,4,-8.03
114,4,-8.45
115,4,-9.10
116,4,-10.03
117,4,-11.24
118,4,-12.79
119,4,-14.63
120,4,-16.30
121,4,-16.85
122,4,-16.01
123,4,-14.62
124,4,-13.40
125,4,-12.58
126,4,-12.24
127,4,-12.35
128,4,-12.92
129,4,-14.01
130,4,-15.79
131,4,-18.31
132,4,-20.76
133,4,-20.96
134,4,-19.09
135,4,-17.08
136,4,-15.67
137,4,-15.00
138,4,-15.06
139,4,-15.69
140,4,-16.73
141,4,-18.11
142,4,-19.64
143,4,-20.65
144,4,-20.19
145,4,-18.79
146,4,-17.57
147,4,-16.96
148,4,-16.55
149,4,-15.49
150,4,-13.68
151,4,-11.84
152,4,-10.37
153,4,-9.26
154,4,-8.39
155,4,-7.71
156,4,-7.12
157,4,-6.51
158,4,-5.80
159,4,-5.00
160,4,-4.15
161,4,-3.30
162,4,-2.47
163,4,-1.74
164,4,-1.14
165,4,-0.68
166,4,-0.30
167,4,0.03
168,4,0.37
169,4,0.74
170,4,1.14
171,4,1.55
172,4,1.92
173,4,2.19
174,4,2.34
175,4,2.36
176,4,2.28
177,4,2.12
178,4,1.95
179,4,1.83
180,4,1.80
0,5,16.81
1,5,16.65
2,5,16.09
3,5,15.21
4,5,14.09
5,5,12.92
6,5,11.94
7,5,11.34
8,5,11.06
9,5,10.83
10,5,10.40
11,5,9.66
12,5,8.54
13,5,7.11
14,5,5.58
15,5,4.29
16,5,3.56
17,5,3.26
18,5,3.01
19,5,2.51
20,5,1.60
21,5,0.27
22,5,-1.36
23,5,-2.96
24,5,-3.85
25,5,-3.65
26,5,-2.66
27,5,-1.47
28,5,-0.40
29,5,0.43
30,5,0.97
31,5,1.21
32,5,1.08
33,5,0.60
34,5,-0.24
35,5,-1.37
36,5,-2.65
37,5,-3.79
38,5,-4.39
39,5,-4.35
40,5,-3.96
41,5,-3.53
42,5,-3.25
43,5,-3.17
44,5,-3.25
45,5,-3.46
46,5,-3.73
47,5,-4.01
48,5,-4.25
49,5,-4.41
50,5,-4.54
51,5,-4.64
52,5,-4.73
53,5,-4.85
54,5,-5.03
55,5,-5.30
56,5,-5.65
57,5,-6.09
58,5,-6.55
59,5,-6.93
60,5,-7.07
61,5,-6.79
62,5,-6.05
63,5,-5.04
64,5,-3.93
65,5,-2.90
66,5,-2.01
67,5,-1.30
68,5,-0.78
69,5,-0.43
70,5,-0.22
71,5,-0.16
72,5,-0.23
73,5,-0.42
74,5,-0.69
75,5,-1.00
76,5,-1.30
77,5,-1.53
78,5,-1.65
79,5,-1.63
80,5,-1.49
81,5,-1.25
82,5,-0.96
83,5,-0.65
84,5,-0.35
85,5,-0.09
86,5,0.11
87,5,0.25
88,5,0.35
89,5,0.40
90,5,0.41
91,5,0.39
92,5,0.34
93,5,0.24
94,5,0.11
95,5,-0.07
96,5,-0.28
97,5,-0.56
98,5,-0.89
99,5,-1.28
100,5,-1.75
101,5,-2.30
102,5,-2.91
103,5,-3.60
104,5,-4.34
105,5,-5.11
106,5,-5.83
107,5,-6.45
108,5,-6.94
109,5,-7.27
110,5,-7.46
111,5,-7.61
112,5,-7.77
113,5,-8.03
114,5,-8.45
115,5,-9.10
116,5,-10.03
117,5,-11.24
118,5,-12.79
119,5,-14.63
120,5,-16.30
121,5,-16.85
122,5,-16.01
123,5,-14.62
124,5,-13.40
125,5,-12.58
126,5,-12.24
127,5,-12.35
128,5,-12.92
129,5,-14.01
130,5,-15.79
131,5,-18.31
132,5,-20.76
133,5,-20.96
134,5,-19.09
135,5,-17.08
136,5,-15.67
137,5,-15.00
138,5,-15.06
139,5,-15.69
140,5,-16.73
141,5,-18.11
142,5,-19.64
143,5,-20.65
144,5,-20.19
145,5,-18.79
146,5,-17.57
147,5,-16.96
148,5,-16.55
149,5,-15.49
150,5,-13.68
151,5,-11.84
152,5,-10.37
153,5,-9.26
154,5,-8.39
155,5,-7.71
156,5,-7.12
157,5,-6.51
158,5,-5.80
159,5,-5.00
160,5,-4.15
161,5,-3.30
162,5,-2.47
163,5,-1.74
164,5,-1.14
165,5,-0.68
166,5,-0.30
167,5,0.03
168,5,0.37
169,5,0.74
170,5,1.14
171,5,1.55
172,5,1.92
173,5,2.19
174,5,2.34
175,5,2.36
176,5,2.28
177,5,2.12
178,5,1.95
179,5,1.83
180,5,1.80
0,6,16.81
1,6,16.65
2,6,16.09
3,6,15.21
4,6,14.09
5,6,12.92
6,6,11.94
7,6,11.34
8,6,11.06
9,6,10.83
10,6,10.40
11,6,9.66
12,6,8.54
13,6,7.11
14,6,5.58
15,6,4.29
16,6,3.56
17,6,3.26
18,6,3.01
19,6,2.51
20,6,1.60
21,6,0.27
22,6,-1.36
23,6,-2.96
24,6,-3.85
25,6,-3.65
26,6,-2.66
27,6,-1.47
28,6,-0.40
29,6,0.43
30,6,0.97
31,6,1.21
32,6,1.08
33,6,0.60
34,6,-0.24
35,6,-1.37
36,6,-2.65
37,6,-3.79
38,6,-4.39
39,6,-4.35
40,6,-3.96
41,6,-3.53
42,6,-3.25
43,6,-3.17
44,6,-3.25
45,6,-3.46
46,6,-3.73
47,6,-4.01
48,6,-4.25
49,6,-4.41
50,6,-4.54
51,6,-4.64
52,6,-4.73
53,6,-4.85
54,6,-5.03
55,6,-5.30
56,6,-5.65
57,6,-6.09
58,6,-6.55
59,6,-6.93
60,6,-7.07
61,6,-6.79
62,6,-6.05
63,6,-5.04
64,6,-3.93
65,6,-2.90
66,6,-2.01
67,6,-1.30
68,6,-0.78
69,6,-0.43
70,6,-0.22
71,6,-0.16
72,6,-0.23
73,6,-0.42
74,6,-0.69
75,6,-1.00
76,6,-1.30
77,6,-1.53
78,6,-1.65
79,6,-1.63
80,6,-1.49
81,6,-1.25
82,6,-0.96
83,6,-0.65
84,6,-0.35
85,6,-0.09
86,6,0.11
87,6,0.25
88,6,0.35
89,6,0.40
90,6,0.41
91,6,0.39
92,6,0.34
93,6,0.24
94,6,0.11
95,6,-0.07
96,6,-0.28
97,6,-0.56
98,6,-0.89
99,6,-1.28
100,6,-1.75
101,6,-2.30
102,6,-2.91
103,6,-3.60
104,6,-4.34
105,6,-5.11
106,6,-5.83
107,6,-6.45
108,6,-6.94
109,6,-7.27
110,6,-7.46
111,6,-7.61
112,6,-7.77
113,6,-8.03
114,6,-8.45
115,6,-9.10
116,6,-10.03
117,6,-11.24
118,6,-12.79
119,6,-14.63
120,6,-16.30
121,6,-16.85
122,6,-16.01
123,6,-14.62
124,6,-13.40
125,6,-12.58
126,6,-12.24
127,6,-12.35
128,6,-12.92
129,6,-14.01
130,6,-15.79
131,6,-18.31
132,6,-20.76
133,6,-20.96
134,6,-19.09
135,6,-17.08
136,6,-15.67
137,6,-15.00
138,6,-15.06
139,6,-15.69
140,6,-16.73
141,6,-18.11
142,6,-19.64
143,6,-20.65
144,6,-20.19
145,6,-18.79
146,6,-17.57
147,6,-16.96
148,6,-16.55
149,6,-15.49
150,6,-13.68
151,6,-11.84
152,6,-10.37
153,6,-9.26
154,6,-8.39
155,6,-7.71
156,6,-7.12
157,6,-6.51
158,6,-5.80
159,6,-5.00
160,6,-4.15
161,6,-3.30
162,6,-2.47
163,6,-1.74
164,6,-1.14
165,6,-0.68
166,6,-0.30
167,6,0.03
168,6,0.37
169,6,0.74
170,6,1.14
171,6,1.55
172,6,1.92
173,6,2.19
174,6,2.34
175,6,2.36
176,6,2.28
177,6,2.12
178,6,1.95
179,6,1.83
180,6,1.80
0,7,16.81
1,7,16.65
2,7,16.09
3,7,15.21
4,7,14.09
5,7,12.92
6,7,11.94
7,7,11.34
8,7,11.06
9,7,10.83
10,7,10.40
11,7,9.66
12,7,8.54
13,7,7.11
14,7,5.58
15,7,4.29
16,7,3.56
17,7,3.26
18,7,3.01
19,7,2.51
20,7,1.60
21,7,0.27
22,7,-1.36
23,7,-2.96
24,7,-3.85
25,7,-3.65
26,7,-2.66
27,7,-1.47
28,7,-0.40
29,7,0.43
30,7,0.97
31,7,1.21
32,7,1.08
33,7,0.60
34,7,-0.24
35,7,-1.37
36,7,-2.65
37,7,-3.79
38,7,-4.39
39,7,-4.35
40,7,-3.96
41,7,-3.53
42,7,-3.25
43,7,-3.17
44,7,-3.25
45,7,-3.46
46,7,-3.73
47,7,-4.01
48,7,-4.25
49,7,-4.41
50,7,-4.54
51,7,-4.64
52,7,-4.73
53,7,-4.85
54,7,-5.03
55,7,-5.30
56,7,-5.65
57,7,-6.09
58,7,-6.55
59,7,-6.93
60,7,-7.07
61,7,-6.79
62,7,-6.05
63,7,-5.04
64,7,-3.93
65,7,-2.90
66,7,-2.01
67,7,-1.30
68,7,-0.78
69,7,-0.43
70,7,-0.22
71,7,-0.16
72,7,-0.23
73,7,-0.42
74,7,-0.69
75,7,-1.00
76,7,-1.30
77,7,-1.53
78,7,-1.65
79,7,-1.63
80,7,-1.49
81,7,-1.25
82,7,-0.96
83,7,-0.65
84,7,-0.35
85,7,-0.09
86,7,0.11
87,7,0.25
88,7,0.35
89,7,0.40
90,7,0.41
91,7,0.39
92,7,0.34
93,7,0.24
94,7,0.11
95,7,-0.07
96,7,-0.28
97,7,-0.56
98,7,-0.89
99,7,-1.28
100,7,-1.75
101,7,-2.30
102,7,-2.91
103,7,-3.60
104,7,-4.34
105,7,-5.11
106,7,-5.83
107,7,-6.45
108,7,-6.94
109,7,-7.27
110,7,-7.46
111,7,-7.61
112,7,-7.77
113,7,-8.03
114,7,-8.45
115,7,-9.10
116,7,-10.03
117,7,-11.24
118,7,-12.79
119,7,-14.63
120,7,-16.30
121,7,-16.85
122,7,-16.01
123,7,-14.62
124,7,-13.40
125,7,-12.58
126,7,-12.24
127,7,-12.35
128,7,-12.92
129,7,-14.01
130,7,-15.79
131,7,-18.31
132,7,-20.76
133,7,-20.96
134,7,-19.09
135,7,-17.08
136,7,-15.67
137,7,-15.00
138,7,-15.06
139,7,-15.69
140,7,-16.73
141,7,-18.11
142,7,-19.64
143,7,-20.65
144,7,-20.19
145,7,-18.79
146,7,-17.57
147,7,-16.96
148,7,-16.55
149,7,-15.49
150,7,-13.68
151,7,-11.84
152,7,-10.37
153,7,-9.26
154,7,-8.39
155,7,-7.71
156,7,-7.12
157,7,-6.51
158,7,-5.80
159,7,-5.00
160,7,-4.15
161,7,-3.30
162,7,-2.47
163,7,-1.74
164,7,-1.14
165,7,-0.68
166,7,-0.30
167,7,0.03
168,7,0.37
169,7,0.74
170,7,1.14
171,7,1.55
172,7,1.92
173,7,2.19
174,7,2.34
175,7,2.36
176,7,2.28
177,7,2.12
178,7,1.95
179,7,1.83
180,7,1.80
0,8,16.81
1,8,16.65
2,8,16.09
3,8,15.21
4,8,14.09
5,8,12.92
6,8,11.94
7,8,11.34
8,8,11.06
9,8,10.83
10,8,10.40
11,8,9.66
12,8,8.54
13,8,7.11
14,8,5.58
15,8,4.29
16,8,3.56
17,8,3.26
18,8,3.01
19,8,2.51
20,8,1.60
21,8,0.27
22,8,-1.36
23,8,-2.96
24,8,-3.85
25,8,-3.65
26,8,-2.66
27,8,-1.47
28,8,-0.40
29,8,0.43
30,8,0.97
31,8,1.21
32,8,1.08
33,8,0.60
34,8,-0.24
35,8,-1.37
36,8,-2.65
37,8,-3.79
38,8,-4.39
39,8,-4.35
40,8,-3.96
41,8,-3.53
42,8,-3.25
43,8,-3.17
44,8,-3.25
45,8,-3.46
46,8,-3.73
47,8,-4.01
48,8,-4.25
49,8,-4.41
50,8,-4.54
51,8,-4.64
52,8,-4.73
53,8,-4.85
54,8,-5.03
55,8,-5.30
56,8,-5.65
57,8,-6.09
58,8,-6.55
59,8,-6.93
60,8,-7.07
61,8,-6.79
62,8,-6.05
63,8,-5.04
64,8,-3.93
65,8,-2.90
66,8,-2.01
67,8,-1.30
68,8,-0.78
69,8,-0.43
70,8,-0.22
71,8,-0.16
72,8,-0.23
73,8,-0.42
74,8,-0.69
75,8,-1.00
76,8,-1.30
77,8,-1.53
78,8,-1.65
79,8,-1.63
80,8,-1.49
81,8,-1.25
82,8,-0.96
83,8,-0.65
84,8,-0.35
85,8,-0.09
86,8,0.11
87,8,0.25
88,8,0.35
89,8,0.40
90,8,0.41
91,8,0.39
92,8,0.34
93,8,0.24
94,8,0.11
95,8,-0.07
96,8,-0.28
97,8,-0.56
98,8,-0.89
99,8,-1.28
100,8,-1.75
101,8,-2.30
102,8,-2.91
103,8,-3.60
104,8,-4.34
105,8,-5.11
106,8,-5.83
107,8,-6.45
108,8,-6.94
109,8,-7.27
110,8,-7.46
111,8,-7.61
112,8,-7.77
113,8,-8.03
114,8,-8.45
115,8,-9.10
116,8,-10.03
117,8,-11.24
118,8,-12.79
119,8,-14.63
120,8,-16.30
121,8,-16.85
122,8,-16.01
123,8,-14.62
124,8,-13.40
125,8,-12.58
126,8,-12.24
127,8,-12.35
128,8,-12.92
129,8,-14.01
130,8,-15.79
131,8,-18.31
132,8,-20.76
133,8,-20.96
134,8,-19.09
135,8,-17.08
136,8,-15.67
137,8,-15.00
138,8,-15.06
139,8,-15.69
140,8,-16.73
141,8,-18.11
142,8,-19.64
143,8,-20.65
144,8,-20.19
145,8,-18.79
146,8,-17.57
147,8,-16.96
148,8,-16.55
149,8,-15.49
150,8,-13.68
151,8,-11.84
152,8,-10.37
153,8,-9.26
